"Name", "Stmts", "Miss", "Cover"
"gen_readme/__init__.py", "8", "0", "100%"
"gen_readme/core/__init__.py", "9", "0", "100%"
"gen_readme/core/model/__init__.py", "9", "0", "100%"
"gen_readme/core/model/project_setup.py", "14", "0", "100%"
"gen_readme/core/service/__init__.py", "9", "0", "100%"
"gen_readme/core/service/engine.py", "27", "0", "100%"
"gen_readme/core/service/iservice.py", "14", "0", "100%"
"gen_readme/core/service/isubprocessor.py", "14", "0", "100%"
"gen_readme/engine.py", "57", "0", "100%"
"gen_readme/infrastructure/__init__.py", "8", "0", "100%"
"gen_readme/infrastructure/cli/__init__.py", "9", "0", "100%"
"gen_readme/infrastructure/cli/engine.py", "39", "0", "100%"
"gen_readme/infrastructure/cli/icli.py", "14", "0", "100%"
"gen_readme/infrastructure/cli/setup/__init__.py", "9", "0", "100%"
"gen_readme/infrastructure/cli/setup/bundle.py", "22", "0", "100%"
"gen_readme/infrastructure/cli/setup/dep_validator.py", "36", "0", "100%"
"gen_readme/infrastructure/cli/setup/dependencies.py", "18", "0", "100%"
"gen_readme/infrastructure/cli/setup/factory.py", "35", "0", "100%"
"gen_readme/infrastructure/cli/setup/keys.py", "26", "0", "100%"
"gen_readme/infrastructure/cli/setup/opt_validator.py", "36", "0", "100%"
"gen_readme/infrastructure/cli/setup/options.py", "15", "0", "100%"
"gen_readme/infrastructure/cli/setup/registry.py", "24", "0", "100%"
"gen_readme/infrastructure/cli/setup/validator.py", "43", "0", "100%"
"gen_readme/infrastructure/command/__init__.py", "9", "0", "100%"
"gen_readme/infrastructure/command/command.py", "16", "0", "100%"
"gen_readme/infrastructure/command/gen_readme_command_definition.py", "24", "0", "100%"
"gen_readme/infrastructure/command/gen_readme_command_executor.py", "21", "0", "100%"
"gen_readme/infrastructure/command/icommand_definition.py", "14", "0", "100%"
"gen_readme/infrastructure/command/icommand_executor.py", "13", "0", "100%"
"gen_readme/infrastructure/subprocessor.py", "58", "0", "100%"
"gen_readme/setup/__init__.py", "9", "0", "100%"
"gen_readme/setup/bundle.py", "23", "0", "100%"
"gen_readme/setup/dep_validator.py", "36", "0", "100%"
"gen_readme/setup/dependencies.py", "19", "0", "100%"
"gen_readme/setup/factory.py", "48", "0", "100%"
"gen_readme/setup/keys.py", "27", "0", "100%"
"gen_readme/setup/opt_validator.py", "34", "0", "100%"
"gen_readme/setup/options.py", "12", "0", "100%"
"gen_readme/setup/registry.py", "32", "0", "100%"
"gen_readme/setup/validator.py", "48", "0", "100%"
"Total", "938", "0", "100%"
